solver,metric,SNR,value
TREX-DA: TLARS,FDR,0.100000,0.000000
TREX-DA: TLARS,sd_FDR,0.100000,0.000000
TREX-DA: TLARS,TPR,0.100000,0.013000
TREX-DA: TLARS,sd_TPR,0.100000,0.053341
TREX-DA: TLARS,Avg_L,0.100000,2.210000
TREX-DA: TLARS,Avg_T,0.100000,5.075000
TREX-DA: TLARS,FDR,0.200000,0.017500
TREX-DA: TLARS,sd_FDR,0.200000,0.097638
TREX-DA: TLARS,TPR,0.200000,0.106000
TREX-DA: TLARS,sd_TPR,0.200000,0.176976
TREX-DA: TLARS,Avg_L,0.200000,4.870000
TREX-DA: TLARS,Avg_T,0.200000,3.945000
TREX-DA: TLARS,FDR,0.500000,0.027083
TREX-DA: TLARS,sd_FDR,0.500000,0.083750
TREX-DA: TLARS,TPR,0.500000,0.682000
TREX-DA: TLARS,sd_TPR,0.500000,0.210470
TREX-DA: TLARS,Avg_L,0.500000,4.050000
TREX-DA: TLARS,Avg_T,0.500000,8.390000
TREX-DA: TLARS,FDR,0.600000,0.023750
TREX-DA: TLARS,sd_FDR,0.600000,0.076466
TREX-DA: TLARS,TPR,0.600000,0.786000
TREX-DA: TLARS,sd_TPR,0.600000,0.195949
TREX-DA: TLARS,Avg_L,0.600000,3.425000
TREX-DA: TLARS,Avg_T,0.600000,9.825000
TREX-DA: TLARS,FDR,1.000000,0.027690
TREX-DA: TLARS,sd_FDR,1.000000,0.081132
TREX-DA: TLARS,TPR,1.000000,0.905000
TREX-DA: TLARS,sd_TPR,1.000000,0.131382
TREX-DA: TLARS,Avg_L,1.000000,2.415000
TREX-DA: TLARS,Avg_T,1.000000,11.380000
TREX-DA: TLARS,FDR,2.000000,0.030667
TREX-DA: TLARS,sd_FDR,2.000000,0.079999
TREX-DA: TLARS,TPR,2.000000,0.900000
TREX-DA: TLARS,sd_TPR,2.000000,0.132998
TREX-DA: TLARS,Avg_L,2.000000,2.405000
TREX-DA: TLARS,Avg_T,2.000000,11.260000
TREX-DA: TLARS,FDR,5.000000,0.027595
TREX-DA: TLARS,sd_FDR,5.000000,0.085814
TREX-DA: TLARS,TPR,5.000000,0.898000
TREX-DA: TLARS,sd_TPR,5.000000,0.141762
TREX-DA: TLARS,Avg_L,5.000000,2.390000
TREX-DA: TLARS,Avg_T,5.000000,11.675000
TREX-DA: TAFS,FDR,0.100000,0.000000
TREX-DA: TAFS,sd_FDR,0.100000,0.000000
TREX-DA: TAFS,TPR,0.100000,0.015000
TREX-DA: TAFS,sd_TPR,0.100000,0.059941
TREX-DA: TAFS,Avg_L,0.100000,2.495000
TREX-DA: TAFS,Avg_T,0.100000,4.845000
TREX-DA: TAFS,FDR,0.200000,0.021833
TREX-DA: TAFS,sd_FDR,0.200000,0.107317
TREX-DA: TAFS,TPR,0.200000,0.100000
TREX-DA: TAFS,sd_TPR,0.200000,0.171309
TREX-DA: TAFS,Avg_L,0.200000,4.860000
TREX-DA: TAFS,Avg_T,0.200000,3.635000
TREX-DA: TAFS,FDR,0.500000,0.043512
TREX-DA: TAFS,sd_FDR,0.500000,0.115432
TREX-DA: TAFS,TPR,0.500000,0.796000
TREX-DA: TAFS,sd_TPR,0.500000,0.214977
TREX-DA: TAFS,Avg_L,0.500000,3.440000
TREX-DA: TAFS,Avg_T,0.500000,5.720000
TREX-DA: TAFS,FDR,0.600000,0.038333
TREX-DA: TAFS,sd_FDR,0.600000,0.087636
TREX-DA: TAFS,TPR,0.600000,0.898000
TREX-DA: TAFS,sd_TPR,0.600000,0.141762
TREX-DA: TAFS,Avg_L,0.600000,2.835000
TREX-DA: TAFS,Avg_T,0.600000,6.505000
TREX-DA: TAFS,FDR,1.000000,0.017929
TREX-DA: TAFS,sd_FDR,1.000000,0.054635
TREX-DA: TAFS,TPR,1.000000,0.947000
TREX-DA: TAFS,sd_TPR,1.000000,0.092920
TREX-DA: TAFS,Avg_L,1.000000,2.440000
TREX-DA: TAFS,Avg_T,1.000000,7.080000
TREX-DA: TAFS,FDR,2.000000,0.015083
TREX-DA: TAFS,sd_FDR,2.000000,0.051678
TREX-DA: TAFS,TPR,2.000000,0.841000
TREX-DA: TAFS,sd_TPR,2.000000,0.094677
TREX-DA: TAFS,Avg_L,2.000000,2.525000
TREX-DA: TAFS,Avg_T,2.000000,7.155000
TREX-DA: TAFS,FDR,5.000000,0.014500
TREX-DA: TAFS,sd_FDR,5.000000,0.053187
TREX-DA: TAFS,TPR,5.000000,0.732000
TREX-DA: TAFS,sd_TPR,5.000000,0.097073
TREX-DA: TAFS,Avg_L,5.000000,2.435000
TREX-DA: TAFS,Avg_T,5.000000,6.835000
TREX-DA: TOMP,FDR,0.100000,0.005000
TREX-DA: TOMP,sd_FDR,0.100000,0.070711
TREX-DA: TOMP,TPR,0.100000,0.016000
TREX-DA: TOMP,sd_TPR,0.100000,0.057972
TREX-DA: TOMP,Avg_L,0.100000,2.445000
TREX-DA: TOMP,Avg_T,0.100000,6.435000
TREX-DA: TOMP,FDR,0.200000,0.016417
TREX-DA: TOMP,sd_FDR,0.200000,0.110041
TREX-DA: TOMP,TPR,0.200000,0.093000
TREX-DA: TOMP,sd_TPR,0.200000,0.166401
TREX-DA: TOMP,Avg_L,0.200000,4.780000
TREX-DA: TOMP,Avg_T,0.200000,4.860000
TREX-DA: TOMP,FDR,0.500000,0.041095
TREX-DA: TOMP,sd_FDR,0.500000,0.099383
TREX-DA: TOMP,TPR,0.500000,0.820000
TREX-DA: TOMP,sd_TPR,0.500000,0.216876
TREX-DA: TOMP,Avg_L,0.500000,3.220000
TREX-DA: TOMP,Avg_T,0.500000,6.915000
TREX-DA: TOMP,FDR,0.600000,0.028333
TREX-DA: TOMP,sd_FDR,0.600000,0.075485
TREX-DA: TOMP,TPR,0.600000,0.921000
TREX-DA: TOMP,sd_TPR,0.600000,0.137307
TREX-DA: TOMP,Avg_L,0.600000,2.565000
TREX-DA: TOMP,Avg_T,0.600000,7.135000
TREX-DA: TOMP,FDR,1.000000,0.019690
TREX-DA: TOMP,sd_FDR,1.000000,0.057305
TREX-DA: TOMP,TPR,1.000000,0.996000
TREX-DA: TOMP,sd_TPR,1.000000,0.028070
TREX-DA: TOMP,Avg_L,1.000000,2.050000
TREX-DA: TOMP,Avg_T,1.000000,7.290000
TREX-DA: TOMP,FDR,2.000000,0.008333
TREX-DA: TOMP,sd_FDR,2.000000,0.036415
TREX-DA: TOMP,TPR,2.000000,1.000000
TREX-DA: TOMP,sd_TPR,2.000000,0.000000
TREX-DA: TOMP,Avg_L,2.000000,2.015000
TREX-DA: TOMP,Avg_T,2.000000,7.300000
TREX-DA: TOMP,FDR,5.000000,0.008333
TREX-DA: TOMP,sd_FDR,5.000000,0.036415
TREX-DA: TOMP,TPR,5.000000,1.000000
TREX-DA: TOMP,sd_TPR,5.000000,0.000000
TREX-DA: TOMP,Avg_L,5.000000,2.015000
TREX-DA: TOMP,Avg_T,5.000000,7.145000
