solver,support_type,metric,SNR,Rho,value
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.100000,0.100000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.100000,0.100000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.100000,0.100000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.100000,0.100000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.100000,0.200000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.100000,0.200000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.100000,0.200000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.100000,0.200000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.100000,0.300000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.100000,0.300000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.100000,0.300000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.100000,0.300000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.100000,0.400000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.100000,0.400000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.100000,0.400000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.100000,0.400000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.100000,0.500000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.100000,0.500000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.100000,0.500000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.100000,0.500000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.100000,0.600000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.100000,0.600000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.100000,0.600000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.100000,0.600000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.100000,0.700000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.100000,0.700000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.100000,0.700000,0.005000
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.100000,0.700000,0.070711
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.100000,0.800000,0.003000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.100000,0.800000,0.019823
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.100000,0.800000,0.019167
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.100000,0.800000,0.128533
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.100000,0.900000,0.003500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.100000,0.900000,0.020975
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.100000,0.900000,0.129167
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.100000,0.900000,0.331733
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.200000,0.100000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.200000,0.100000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.200000,0.100000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.200000,0.100000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.200000,0.200000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.200000,0.200000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.200000,0.200000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.200000,0.200000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.200000,0.300000,0.002500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.200000,0.300000,0.025436
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.200000,0.300000,0.005000
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.200000,0.300000,0.049874
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.200000,0.400000,0.001000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.200000,0.400000,0.014142
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.200000,0.400000,0.001667
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.200000,0.400000,0.023570
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.200000,0.500000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.200000,0.500000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.200000,0.500000,0.000000
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.200000,0.500000,0.000000
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.200000,0.600000,0.001000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.200000,0.600000,0.014142
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.200000,0.600000,0.001667
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.200000,0.600000,0.023570
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.200000,0.700000,0.006000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.200000,0.700000,0.032701
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.200000,0.700000,0.012917
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.200000,0.700000,0.092313
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.200000,0.800000,0.028000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.200000,0.800000,0.073778
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.200000,0.800000,0.089500
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.200000,0.800000,0.246156
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.200000,0.900000,0.035000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.200000,0.900000,0.074179
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.200000,0.900000,0.353067
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.200000,0.900000,0.432363
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.500000,0.100000,0.085000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.500000,0.100000,0.172697
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.500000,0.100000,0.016476
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.500000,0.100000,0.063249
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.500000,0.200000,0.096500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.500000,0.200000,0.186310
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.500000,0.200000,0.020304
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.500000,0.200000,0.079964
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.500000,0.300000,0.102500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.500000,0.300000,0.191382
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.500000,0.300000,0.022994
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.500000,0.300000,0.075768
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.500000,0.400000,0.104000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.500000,0.400000,0.198193
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.500000,0.400000,0.025103
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.500000,0.400000,0.084570
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.500000,0.500000,0.101000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.500000,0.500000,0.196448
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.500000,0.500000,0.029618
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.500000,0.500000,0.104961
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.500000,0.600000,0.093000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.500000,0.600000,0.172627
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.500000,0.600000,0.028140
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.500000,0.600000,0.085243
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.500000,0.700000,0.151500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.500000,0.700000,0.199239
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.500000,0.700000,0.085637
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.500000,0.700000,0.157230
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.500000,0.800000,0.282500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.500000,0.800000,0.184701
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.500000,0.800000,0.284781
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.500000,0.800000,0.243603
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.500000,0.900000,0.277500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.500000,0.900000,0.147146
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.500000,0.900000,0.651490
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.500000,0.900000,0.178008
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,1.000000,0.100000,0.684500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,1.000000,0.100000,0.218974
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,1.000000,0.100000,0.060808
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,1.000000,0.100000,0.090525
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,1.000000,0.200000,0.683500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,1.000000,0.200000,0.236978
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,1.000000,0.200000,0.063014
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,1.000000,0.200000,0.096979
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,1.000000,0.300000,0.740500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,1.000000,0.300000,0.196731
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,1.000000,0.300000,0.078293
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,1.000000,0.300000,0.101151
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,1.000000,0.400000,0.741000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,1.000000,0.400000,0.213181
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,1.000000,0.400000,0.079719
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,1.000000,0.400000,0.094566
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,1.000000,0.500000,0.699000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,1.000000,0.500000,0.224614
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,1.000000,0.500000,0.078946
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,1.000000,0.500000,0.098973
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,1.000000,0.600000,0.686000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,1.000000,0.600000,0.200762
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,1.000000,0.600000,0.101540
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,1.000000,0.600000,0.111918
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,1.000000,0.700000,0.643500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,1.000000,0.700000,0.222949
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,1.000000,0.700000,0.137828
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,1.000000,0.700000,0.133856
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,1.000000,0.800000,0.625500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,1.000000,0.800000,0.168050
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,1.000000,0.800000,0.264581
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,1.000000,0.800000,0.157871
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,1.000000,0.900000,0.516500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,1.000000,0.900000,0.160957
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,1.000000,0.900000,0.575310
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,1.000000,0.900000,0.131435
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,2.000000,0.100000,0.915000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,2.000000,0.100000,0.112420
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,2.000000,0.100000,0.086135
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,2.000000,0.100000,0.086207
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,2.000000,0.200000,0.921000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,2.000000,0.200000,0.104468
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,2.000000,0.200000,0.090417
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,2.000000,0.200000,0.090521
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,2.000000,0.300000,0.974500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,2.000000,0.300000,0.053045
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,2.000000,0.300000,0.110445
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,2.000000,0.300000,0.084617
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,2.000000,0.400000,0.965000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,2.000000,0.400000,0.051850
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,2.000000,0.400000,0.118480
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,2.000000,0.400000,0.087819
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,2.000000,0.500000,0.950000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,2.000000,0.500000,0.070888
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,2.000000,0.500000,0.111868
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,2.000000,0.500000,0.089590
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,2.000000,0.600000,0.915500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,2.000000,0.600000,0.091387
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,2.000000,0.600000,0.125866
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,2.000000,0.600000,0.098000
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,2.000000,0.700000,0.895000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,2.000000,0.700000,0.117234
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,2.000000,0.700000,0.144000
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,2.000000,0.700000,0.108222
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,2.000000,0.800000,0.775000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,2.000000,0.800000,0.143099
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,2.000000,0.800000,0.227493
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,2.000000,0.800000,0.137410
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,2.000000,0.900000,0.616500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,2.000000,0.900000,0.165574
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,2.000000,0.900000,0.528363
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,2.000000,0.900000,0.113380
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,5.000000,0.100000,0.944000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,5.000000,0.100000,0.098041
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,5.000000,0.100000,0.096231
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,5.000000,0.100000,0.078728
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,5.000000,0.200000,0.947000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,5.000000,0.200000,0.090731
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,5.000000,0.200000,0.106028
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,5.000000,0.200000,0.080540
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,5.000000,0.300000,0.975000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,5.000000,0.300000,0.046754
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,5.000000,0.300000,0.138661
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,5.000000,0.300000,0.075075
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,5.000000,0.400000,0.973500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,5.000000,0.400000,0.048575
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,5.000000,0.400000,0.136406
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,5.000000,0.400000,0.078098
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,5.000000,0.500000,0.963000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,5.000000,0.500000,0.061235
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,5.000000,0.500000,0.128342
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,5.000000,0.500000,0.082397
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,5.000000,0.600000,0.943000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,5.000000,0.600000,0.082371
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,5.000000,0.600000,0.127103
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,5.000000,0.600000,0.090438
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,5.000000,0.700000,0.915500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,5.000000,0.700000,0.109864
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,5.000000,0.700000,0.140406
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,5.000000,0.700000,0.096928
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,5.000000,0.800000,0.798000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,5.000000,0.800000,0.146298
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,5.000000,0.800000,0.219964
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,5.000000,0.800000,0.126587
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,5.000000,0.900000,0.611500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,5.000000,0.900000,0.162943
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,5.000000,0.900000,0.502952
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,5.000000,0.900000,0.117625
TREX-DA+NN: TLARS,Random,mean_TPP,0.100000,0.100000,0.000000
TREX-DA+NN: TLARS,Random,sd_TPP,0.100000,0.100000,0.000000
TREX-DA+NN: TLARS,Random,mean_FDP,0.100000,0.100000,0.000000
TREX-DA+NN: TLARS,Random,sd_FDP,0.100000,0.100000,0.000000
TREX-DA+NN: TLARS,Random,mean_TPP,0.100000,0.200000,0.000000
TREX-DA+NN: TLARS,Random,sd_TPP,0.100000,0.200000,0.000000
TREX-DA+NN: TLARS,Random,mean_FDP,0.100000,0.200000,0.000000
TREX-DA+NN: TLARS,Random,sd_FDP,0.100000,0.200000,0.000000
TREX-DA+NN: TLARS,Random,mean_TPP,0.100000,0.300000,0.000000
TREX-DA+NN: TLARS,Random,sd_TPP,0.100000,0.300000,0.000000
TREX-DA+NN: TLARS,Random,mean_FDP,0.100000,0.300000,0.000000
TREX-DA+NN: TLARS,Random,sd_FDP,0.100000,0.300000,0.000000
TREX-DA+NN: TLARS,Random,mean_TPP,0.100000,0.400000,0.000000
TREX-DA+NN: TLARS,Random,sd_TPP,0.100000,0.400000,0.000000
TREX-DA+NN: TLARS,Random,mean_FDP,0.100000,0.400000,0.000000
TREX-DA+NN: TLARS,Random,sd_FDP,0.100000,0.400000,0.000000
TREX-DA+NN: TLARS,Random,mean_TPP,0.100000,0.500000,0.000000
TREX-DA+NN: TLARS,Random,sd_TPP,0.100000,0.500000,0.000000
TREX-DA+NN: TLARS,Random,mean_FDP,0.100000,0.500000,0.000000
TREX-DA+NN: TLARS,Random,sd_FDP,0.100000,0.500000,0.000000
TREX-DA+NN: TLARS,Random,mean_TPP,0.100000,0.600000,0.000000
TREX-DA+NN: TLARS,Random,sd_TPP,0.100000,0.600000,0.000000
TREX-DA+NN: TLARS,Random,mean_FDP,0.100000,0.600000,0.000000
TREX-DA+NN: TLARS,Random,sd_FDP,0.100000,0.600000,0.000000
TREX-DA+NN: TLARS,Random,mean_TPP,0.100000,0.700000,0.002500
TREX-DA+NN: TLARS,Random,sd_TPP,0.100000,0.700000,0.018587
TREX-DA+NN: TLARS,Random,mean_FDP,0.100000,0.700000,0.019167
TREX-DA+NN: TLARS,Random,sd_FDP,0.100000,0.700000,0.118356
TREX-DA+NN: TLARS,Random,mean_TPP,0.100000,0.800000,0.004500
TREX-DA+NN: TLARS,Random,sd_TPP,0.100000,0.800000,0.023074
TREX-DA+NN: TLARS,Random,mean_FDP,0.100000,0.800000,0.054167
