"rho_level","rho","cut_height","var","group_size","group_members"
0,0.181505200859289,0.818494799140711,0,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
0,0.181505200859289,0.818494799140711,1,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
0,0.181505200859289,0.818494799140711,2,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
0,0.181505200859289,0.818494799140711,3,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
0,0.181505200859289,0.818494799140711,4,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
0,0.181505200859289,0.818494799140711,5,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
0,0.181505200859289,0.818494799140711,6,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
0,0.181505200859289,0.818494799140711,7,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
0,0.181505200859289,0.818494799140711,8,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
0,0.181505200859289,0.818494799140711,9,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
0,0.181505200859289,0.818494799140711,10,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
0,0.181505200859289,0.818494799140711,11,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
0,0.181505200859289,0.818494799140711,12,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
0,0.181505200859289,0.818494799140711,13,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
0,0.181505200859289,0.818494799140711,14,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
0,0.181505200859289,0.818494799140711,15,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
0,0.181505200859289,0.818494799140711,16,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
0,0.181505200859289,0.818494799140711,17,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
0,0.181505200859289,0.818494799140711,18,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
0,0.181505200859289,0.818494799140711,19,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
0,0.181505200859289,0.818494799140711,20,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
0,0.181505200859289,0.818494799140711,21,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
0,0.181505200859289,0.818494799140711,22,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
0,0.181505200859289,0.818494799140711,23,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
0,0.181505200859289,0.818494799140711,24,25,"0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24"
1,0.203249238158723,0.796750761841277,0,15,"0|1|2|3|4|10|11|12|13|14|20|21|22|23|24"
1,0.203249238158723,0.796750761841277,1,15,"0|1|2|3|4|10|11|12|13|14|20|21|22|23|24"
1,0.203249238158723,0.796750761841277,2,15,"0|1|2|3|4|10|11|12|13|14|20|21|22|23|24"
1,0.203249238158723,0.796750761841277,3,15,"0|1|2|3|4|10|11|12|13|14|20|21|22|23|24"
1,0.203249238158723,0.796750761841277,4,15,"0|1|2|3|4|10|11|12|13|14|20|21|22|23|24"
1,0.203249238158723,0.796750761841277,5,10,"5|6|7|8|9|15|16|17|18|19"
1,0.203249238158723,0.796750761841277,6,10,"5|6|7|8|9|15|16|17|18|19"
1,0.203249238158723,0.796750761841277,7,10,"5|6|7|8|9|15|16|17|18|19"
1,0.203249238158723,0.796750761841277,8,10,"5|6|7|8|9|15|16|17|18|19"
1,0.203249238158723,0.796750761841277,9,10,"5|6|7|8|9|15|16|17|18|19"
1,0.203249238158723,0.796750761841277,10,15,"0|1|2|3|4|10|11|12|13|14|20|21|22|23|24"
1,0.203249238158723,0.796750761841277,11,15,"0|1|2|3|4|10|11|12|13|14|20|21|22|23|24"
1,0.203249238158723,0.796750761841277,12,15,"0|1|2|3|4|10|11|12|13|14|20|21|22|23|24"
1,0.203249238158723,0.796750761841277,13,15,"0|1|2|3|4|10|11|12|13|14|20|21|22|23|24"
1,0.203249238158723,0.796750761841277,14,15,"0|1|2|3|4|10|11|12|13|14|20|21|22|23|24"
1,0.203249238158723,0.796750761841277,15,10,"5|6|7|8|9|15|16|17|18|19"
1,0.203249238158723,0.796750761841277,16,10,"5|6|7|8|9|15|16|17|18|19"
1,0.203249238158723,0.796750761841277,17,10,"5|6|7|8|9|15|16|17|18|19"
1,0.203249238158723,0.796750761841277,18,10,"5|6|7|8|9|15|16|17|18|19"
1,0.203249238158723,0.796750761841277,19,10,"5|6|7|8|9|15|16|17|18|19"
1,0.203249238158723,0.796750761841277,20,15,"0|1|2|3|4|10|11|12|13|14|20|21|22|23|24"
1,0.203249238158723,0.796750761841277,21,15,"0|1|2|3|4|10|11|12|13|14|20|21|22|23|24"
1,0.203249238158723,0.796750761841277,22,15,"0|1|2|3|4|10|11|12|13|14|20|21|22|23|24"
1,0.203249238158723,0.796750761841277,23,15,"0|1|2|3|4|10|11|12|13|14|20|21|22|23|24"
1,0.203249238158723,0.796750761841277,24,15,"0|1|2|3|4|10|11|12|13|14|20|21|22|23|24"
2,0.220318370659748,0.779681629340252,0,5,"0|1|2|3|4"
2,0.220318370659748,0.779681629340252,1,5,"0|1|2|3|4"
2,0.220318370659748,0.779681629340252,2,5,"0|1|2|3|4"
2,0.220318370659748,0.779681629340252,3,5,"0|1|2|3|4"
2,0.220318370659748,0.779681629340252,4,5,"0|1|2|3|4"
2,0.220318370659748,0.779681629340252,5,10,"5|6|7|8|9|15|16|17|18|19"
2,0.220318370659748,0.779681629340252,6,10,"5|6|7|8|9|15|16|17|18|19"
2,0.220318370659748,0.779681629340252,7,10,"5|6|7|8|9|15|16|17|18|19"
2,0.220318370659748,0.779681629340252,8,10,"5|6|7|8|9|15|16|17|18|19"
2,0.220318370659748,0.779681629340252,9,10,"5|6|7|8|9|15|16|17|18|19"
2,0.220318370659748,0.779681629340252,10,5,"10|11|12|13|14"
2,0.220318370659748,0.779681629340252,11,5,"10|11|12|13|14"
2,0.220318370659748,0.779681629340252,12,5,"10|11|12|13|14"
2,0.220318370659748,0.779681629340252,13,5,"10|11|12|13|14"
2,0.220318370659748,0.779681629340252,14,5,"10|11|12|13|14"
2,0.220318370659748,0.779681629340252,15,10,"5|6|7|8|9|15|16|17|18|19"
2,0.220318370659748,0.779681629340252,16,10,"5|6|7|8|9|15|16|17|18|19"
2,0.220318370659748,0.779681629340252,17,10,"5|6|7|8|9|15|16|17|18|19"
2,0.220318370659748,0.779681629340252,18,10,"5|6|7|8|9|15|16|17|18|19"
2,0.220318370659748,0.779681629340252,19,10,"5|6|7|8|9|15|16|17|18|19"
2,0.220318370659748,0.779681629340252,20,5,"20|21|22|23|24"
2,0.220318370659748,0.779681629340252,21,5,"20|21|22|23|24"
2,0.220318370659748,0.779681629340252,22,5,"20|21|22|23|24"
2,0.220318370659748,0.779681629340252,23,5,"20|21|22|23|24"
2,0.220318370659748,0.779681629340252,24,5,"20|21|22|23|24"
3,0.610989201184559,0.389010798815441,0,5,"0|1|2|3|4"
3,0.610989201184559,0.389010798815441,1,5,"0|1|2|3|4"
3,0.610989201184559,0.389010798815441,2,5,"0|1|2|3|4"
3,0.610989201184559,0.389010798815441,3,5,"0|1|2|3|4"
3,0.610989201184559,0.389010798815441,4,5,"0|1|2|3|4"
3,0.610989201184559,0.389010798815441,5,5,"5|6|7|8|9"
3,0.610989201184559,0.389010798815441,6,5,"5|6|7|8|9"
3,0.610989201184559,0.389010798815441,7,5,"5|6|7|8|9"
3,0.610989201184559,0.389010798815441,8,5,"5|6|7|8|9"
3,0.610989201184559,0.389010798815441,9,5,"5|6|7|8|9"
3,0.610989201184559,0.389010798815441,10,5,"10|11|12|13|14"
3,0.610989201184559,0.389010798815441,11,5,"10|11|12|13|14"
3,0.610989201184559,0.389010798815441,12,5,"10|11|12|13|14"
3,0.610989201184559,0.389010798815441,13,5,"10|11|12|13|14"
3,0.610989201184559,0.389010798815441,14,5,"10|11|12|13|14"
3,0.610989201184559,0.389010798815441,15,5,"15|16|17|18|19"
3,0.610989201184559,0.389010798815441,16,5,"15|16|17|18|19"
3,0.610989201184559,0.389010798815441,17,5,"15|16|17|18|19"
3,0.610989201184559,0.389010798815441,18,5,"15|16|17|18|19"
3,0.610989201184559,0.389010798815441,19,5,"15|16|17|18|19"
3,0.610989201184559,0.389010798815441,20,5,"20|21|22|23|24"
3,0.610989201184559,0.389010798815441,21,5,"20|21|22|23|24"
3,0.610989201184559,0.389010798815441,22,5,"20|21|22|23|24"
3,0.610989201184559,0.389010798815441,23,5,"20|21|22|23|24"
3,0.610989201184559,0.389010798815441,24,5,"20|21|22|23|24"
4,0.629338906291603,0.370661093708397,0,3,"0|1|2"
4,0.629338906291603,0.370661093708397,1,3,"0|1|2"
4,0.629338906291603,0.370661093708397,2,3,"0|1|2"
4,0.629338906291603,0.370661093708397,3,2,"3|4"
4,0.629338906291603,0.370661093708397,4,2,"3|4"
4,0.629338906291603,0.370661093708397,5,5,"5|6|7|8|9"
4,0.629338906291603,0.370661093708397,6,5,"5|6|7|8|9"
4,0.629338906291603,0.370661093708397,7,5,"5|6|7|8|9"
4,0.629338906291603,0.370661093708397,8,5,"5|6|7|8|9"
4,0.629338906291603,0.370661093708397,9,5,"5|6|7|8|9"
4,0.629338906291603,0.370661093708397,10,5,"10|11|12|13|14"
4,0.629338906291603,0.370661093708397,11,5,"10|11|12|13|14"
4,0.629338906291603,0.370661093708397,12,5,"10|11|12|13|14"
4,0.629338906291603,0.370661093708397,13,5,"10|11|12|13|14"
4,0.629338906291603,0.370661093708397,14,5,"10|11|12|13|14"
4,0.629338906291603,0.370661093708397,15,5,"15|16|17|18|19"
4,0.629338906291603,0.370661093708397,16,5,"15|16|17|18|19"
4,0.629338906291603,0.370661093708397,17,5,"15|16|17|18|19"
4,0.629338906291603,0.370661093708397,18,5,"15|16|17|18|19"
4,0.629338906291603,0.370661093708397,19,5,"15|16|17|18|19"
4,0.629338906291603,0.370661093708397,20,5,"20|21|22|23|24"
4,0.629338906291603,0.370661093708397,21,5,"20|21|22|23|24"
4,0.629338906291603,0.370661093708397,22,5,"20|21|22|23|24"
4,0.629338906291603,0.370661093708397,23,5,"20|21|22|23|24"
4,0.629338906291603,0.370661093708397,24,5,"20|21|22|23|24"
5,0.634215912823738,0.365784087176262,0,3,"0|1|2"
5,0.634215912823738,0.365784087176262,1,3,"0|1|2"
5,0.634215912823738,0.365784087176262,2,3,"0|1|2"
5,0.634215912823738,0.365784087176262,3,2,"3|4"
5,0.634215912823738,0.365784087176262,4,2,"3|4"
5,0.634215912823738,0.365784087176262,5,5,"5|6|7|8|9"
5,0.634215912823738,0.365784087176262,6,5,"5|6|7|8|9"
5,0.634215912823738,0.365784087176262,7,5,"5|6|7|8|9"
5,0.634215912823738,0.365784087176262,8,5,"5|6|7|8|9"
5,0.634215912823738,0.365784087176262,9,5,"5|6|7|8|9"
5,0.634215912823738,0.365784087176262,10,4,"10|11|12|13"
5,0.634215912823738,0.365784087176262,11,4,"10|11|12|13"
5,0.634215912823738,0.365784087176262,12,4,"10|11|12|13"
5,0.634215912823738,0.365784087176262,13,4,"10|11|12|13"
5,0.634215912823738,0.365784087176262,14,1,"14"
5,0.634215912823738,0.365784087176262,15,5,"15|16|17|18|19"
5,0.634215912823738,0.365784087176262,16,5,"15|16|17|18|19"
5,0.634215912823738,0.365784087176262,17,5,"15|16|17|18|19"
5,0.634215912823738,0.365784087176262,18,5,"15|16|17|18|19"
5,0.634215912823738,0.365784087176262,19,5,"15|16|17|18|19"
5,0.634215912823738,0.365784087176262,20,5,"20|21|22|23|24"
5,0.634215912823738,0.365784087176262,21,5,"20|21|22|23|24"
5,0.634215912823738,0.365784087176262,22,5,"20|21|22|23|24"
5,0.634215912823738,0.365784087176262,23,5,"20|21|22|23|24"
5,0.634215912823738,0.365784087176262,24,5,"20|21|22|23|24"
6,0.66252575686955,0.33747424313045,0,1,"0"
6,0.66252575686955,0.33747424313045,1,2,"1|2"
6,0.66252575686955,0.33747424313045,2,2,"1|2"
6,0.66252575686955,0.33747424313045,3,2,"3|4"
6,0.66252575686955,0.33747424313045,4,2,"3|4"
6,0.66252575686955,0.33747424313045,5,3,"5|6|7"
6,0.66252575686955,0.33747424313045,6,3,"5|6|7"
6,0.66252575686955,0.33747424313045,7,3,"5|6|7"
6,0.66252575686955,0.33747424313045,8,2,"8|9"
6,0.66252575686955,0.33747424313045,9,2,"8|9"
6,0.66252575686955,0.33747424313045,10,4,"10|11|12|13"
6,0.66252575686955,0.33747424313045,11,4,"10|11|12|13"
6,0.66252575686955,0.33747424313045,12,4,"10|11|12|13"
6,0.66252575686955,0.33747424313045,13,4,"10|11|12|13"
6,0.66252575686955,0.33747424313045,14,1,"14"
6,0.66252575686955,0.33747424313045,15,5,"15|16|17|18|19"
6,0.66252575686955,0.33747424313045,16,5,"15|16|17|18|19"
6,0.66252575686955,0.33747424313045,17,5,"15|16|17|18|19"
6,0.66252575686955,0.33747424313045,18,5,"15|16|17|18|19"
6,0.66252575686955,0.33747424313045,19,5,"15|16|17|18|19"
6,0.66252575686955,0.33747424313045,20,5,"20|21|22|23|24"
6,0.66252575686955,0.33747424313045,21,5,"20|21|22|23|24"
6,0.66252575686955,0.33747424313045,22,5,"20|21|22|23|24"
6,0.66252575686955,0.33747424313045,23,5,"20|21|22|23|24"
6,0.66252575686955,0.33747424313045,24,5,"20|21|22|23|24"
7,0.666142764990738,0.333857235009262,0,1,"0"
7,0.666142764990738,0.333857235009262,1,2,"1|2"
7,0.666142764990738,0.333857235009262,2,2,"1|2"
7,0.666142764990738,0.333857235009262,3,2,"3|4"
7,0.666142764990738,0.333857235009262,4,2,"3|4"
7,0.666142764990738,0.333857235009262,5,3,"5|6|7"
7,0.666142764990738,0.333857235009262,6,3,"5|6|7"
7,0.666142764990738,0.333857235009262,7,3,"5|6|7"
7,0.666142764990738,0.333857235009262,8,2,"8|9"
7,0.666142764990738,0.333857235009262,9,2,"8|9"
7,0.666142764990738,0.333857235009262,10,4,"10|11|12|13"
7,0.666142764990738,0.333857235009262,11,4,"10|11|12|13"
7,0.666142764990738,0.333857235009262,12,4,"10|11|12|13"
7,0.666142764990738,0.333857235009262,13,4,"10|11|12|13"
7,0.666142764990738,0.333857235009262,14,1,"14"
7,0.666142764990738,0.333857235009262,15,4,"15|16|17|18"
7,0.666142764990738,0.333857235009262,16,4,"15|16|17|18"
7,0.666142764990738,0.333857235009262,17,4,"15|16|17|18"
7,0.666142764990738,0.333857235009262,18,4,"15|16|17|18"
7,0.666142764990738,0.333857235009262,19,1,"19"
7,0.666142764990738,0.333857235009262,20,5,"20|21|22|23|24"
7,0.666142764990738,0.333857235009262,21,5,"20|21|22|23|24"
7,0.666142764990738,0.333857235009262,22,5,"20|21|22|23|24"
7,0.666142764990738,0.333857235009262,23,5,"20|21|22|23|24"
7,0.666142764990738,0.333857235009262,24,5,"20|21|22|23|24"
8,0.6805780142766,0.3194219857234,0,1,"0"
8,0.6805780142766,0.3194219857234,1,2,"1|2"
8,0.6805780142766,0.3194219857234,2,2,"1|2"
8,0.6805780142766,0.3194219857234,3,1,"3"
8,0.6805780142766,0.3194219857234,4,1,"4"
8,0.6805780142766,0.3194219857234,5,3,"5|6|7"
8,0.6805780142766,0.3194219857234,6,3,"5|6|7"
8,0.6805780142766,0.3194219857234,7,3,"5|6|7"
