method,metric,rho,value
Screen-TRex Ordinary,FDR,0.100000,0.654593
Screen-TRex Ordinary,TPR,0.100000,0.899000
Screen-TRex Ordinary,Est. FDR,0.100000,0.038363
Screen-TRex Ordinary,FDR,0.200000,0.781436
Screen-TRex Ordinary,TPR,0.200000,0.786000
Screen-TRex Ordinary,Est. FDR,0.200000,0.027787
Screen-TRex Ordinary,FDR,0.300000,0.819458
Screen-TRex Ordinary,TPR,0.300000,0.640000
Screen-TRex Ordinary,Est. FDR,0.300000,0.028041
Screen-TRex Ordinary,FDR,0.400000,0.850913
Screen-TRex Ordinary,TPR,0.400000,0.511000
Screen-TRex Ordinary,Est. FDR,0.400000,0.029316
Screen-TRex Ordinary,FDR,0.500000,0.878919
Screen-TRex Ordinary,TPR,0.500000,0.387500
Screen-TRex Ordinary,Est. FDR,0.500000,0.031320
Screen-TRex Ordinary,FDR,0.600000,0.906270
Screen-TRex Ordinary,TPR,0.600000,0.268000
Screen-TRex Ordinary,Est. FDR,0.600000,0.034757
Screen-TRex Ordinary,FDR,0.700000,0.928280
Screen-TRex Ordinary,TPR,0.700000,0.176500
Screen-TRex Ordinary,Est. FDR,0.700000,0.041292
Screen-TRex Ordinary,FDR,0.800000,0.940470
Screen-TRex Ordinary,TPR,0.800000,0.116500
Screen-TRex Ordinary,Est. FDR,0.800000,0.051224
Screen-TRex Ordinary,FDR,0.900000,0.958310
Screen-TRex Ordinary,TPR,0.900000,0.059500
Screen-TRex Ordinary,Est. FDR,0.900000,0.073627
Screen-TRex Bootstrap,FDR,0.100000,0.527972
Screen-TRex Bootstrap,TPR,0.100000,0.736000
Screen-TRex Bootstrap,Est. FDR,0.100000,0.030969
Screen-TRex Bootstrap,FDR,0.200000,0.739645
Screen-TRex Bootstrap,TPR,0.200000,0.743500
Screen-TRex Bootstrap,Est. FDR,0.200000,0.026903
Screen-TRex Bootstrap,FDR,0.300000,0.804482
Screen-TRex Bootstrap,TPR,0.300000,0.625000
Screen-TRex Bootstrap,Est. FDR,0.300000,0.028253
Screen-TRex Bootstrap,FDR,0.400000,0.844191
Screen-TRex Bootstrap,TPR,0.400000,0.499000
Screen-TRex Bootstrap,Est. FDR,0.400000,0.030282
Screen-TRex Bootstrap,FDR,0.500000,0.877406
Screen-TRex Bootstrap,TPR,0.500000,0.379500
Screen-TRex Bootstrap,Est. FDR,0.500000,0.032559
Screen-TRex Bootstrap,FDR,0.600000,0.905656
Screen-TRex Bootstrap,TPR,0.600000,0.258000
Screen-TRex Bootstrap,Est. FDR,0.600000,0.036543
Screen-TRex Bootstrap,FDR,0.700000,0.922858
Screen-TRex Bootstrap,TPR,0.700000,0.169500
Screen-TRex Bootstrap,Est. FDR,0.700000,0.043176
Screen-TRex Bootstrap,FDR,0.800000,0.939939
Screen-TRex Bootstrap,TPR,0.800000,0.112500
Screen-TRex Bootstrap,Est. FDR,0.800000,0.053792
Screen-TRex Bootstrap,FDR,0.900000,0.947410
Screen-TRex Bootstrap,TPR,0.900000,0.058000
Screen-TRex Bootstrap,Est. FDR,0.900000,0.075843
Screen-TRex Ordinary DA-EQUI,FDR,0.100000,0.527511
Screen-TRex Ordinary DA-EQUI,TPR,0.100000,0.816000
Screen-TRex Ordinary DA-EQUI,Est. FDR,0.100000,0.058601
Screen-TRex Ordinary DA-EQUI,FDR,0.200000,0.746226
Screen-TRex Ordinary DA-EQUI,TPR,0.200000,0.749500
Screen-TRex Ordinary DA-EQUI,Est. FDR,0.200000,0.034109
Screen-TRex Ordinary DA-EQUI,FDR,0.300000,0.801344
Screen-TRex Ordinary DA-EQUI,TPR,0.300000,0.612000
Screen-TRex Ordinary DA-EQUI,Est. FDR,0.300000,0.032258
Screen-TRex Ordinary DA-EQUI,FDR,0.400000,0.840490
Screen-TRex Ordinary DA-EQUI,TPR,0.400000,0.485500
Screen-TRex Ordinary DA-EQUI,Est. FDR,0.400000,0.032972
Screen-TRex Ordinary DA-EQUI,FDR,0.500000,0.874158
Screen-TRex Ordinary DA-EQUI,TPR,0.500000,0.368500
Screen-TRex Ordinary DA-EQUI,Est. FDR,0.500000,0.034311
Screen-TRex Ordinary DA-EQUI,FDR,0.600000,0.904129
Screen-TRex Ordinary DA-EQUI,TPR,0.600000,0.255000
Screen-TRex Ordinary DA-EQUI,Est. FDR,0.600000,0.037497
Screen-TRex Ordinary DA-EQUI,FDR,0.700000,0.927939
Screen-TRex Ordinary DA-EQUI,TPR,0.700000,0.166500
Screen-TRex Ordinary DA-EQUI,Est. FDR,0.700000,0.044169
Screen-TRex Ordinary DA-EQUI,FDR,0.800000,0.938394
Screen-TRex Ordinary DA-EQUI,TPR,0.800000,0.115500
Screen-TRex Ordinary DA-EQUI,Est. FDR,0.800000,0.053785
Screen-TRex Ordinary DA-EQUI,FDR,0.900000,0.958565
Screen-TRex Ordinary DA-EQUI,TPR,0.900000,0.056000
Screen-TRex Ordinary DA-EQUI,Est. FDR,0.900000,0.077480
Screen-TRex Bootstrap DA-EQUI,FDR,0.100000,0.008135
Screen-TRex Bootstrap DA-EQUI,TPR,0.100000,0.013000
Screen-TRex Bootstrap DA-EQUI,Est. FDR,0.100000,0.000794
Screen-TRex Bootstrap DA-EQUI,FDR,0.200000,0.233650
Screen-TRex Bootstrap DA-EQUI,TPR,0.200000,0.243500
Screen-TRex Bootstrap DA-EQUI,Est. FDR,0.200000,0.009719
Screen-TRex Bootstrap DA-EQUI,FDR,0.300000,0.474282
Screen-TRex Bootstrap DA-EQUI,TPR,0.300000,0.368000
Screen-TRex Bootstrap DA-EQUI,Est. FDR,0.300000,0.018392
Screen-TRex Bootstrap DA-EQUI,FDR,0.400000,0.646033
Screen-TRex Bootstrap DA-EQUI,TPR,0.400000,0.380000
Screen-TRex Bootstrap DA-EQUI,Est. FDR,0.400000,0.025206
Screen-TRex Bootstrap DA-EQUI,FDR,0.500000,0.754068
Screen-TRex Bootstrap DA-EQUI,TPR,0.500000,0.323500
Screen-TRex Bootstrap DA-EQUI,Est. FDR,0.500000,0.029840
Screen-TRex Bootstrap DA-EQUI,FDR,0.600000,0.856961
Screen-TRex Bootstrap DA-EQUI,TPR,0.600000,0.241500
Screen-TRex Bootstrap DA-EQUI,Est. FDR,0.600000,0.036487
Screen-TRex Bootstrap DA-EQUI,FDR,0.700000,0.894870
Screen-TRex Bootstrap DA-EQUI,TPR,0.700000,0.158000
Screen-TRex Bootstrap DA-EQUI,Est. FDR,0.700000,0.043721
Screen-TRex Bootstrap DA-EQUI,FDR,0.800000,0.924253
Screen-TRex Bootstrap DA-EQUI,TPR,0.800000,0.110500
Screen-TRex Bootstrap DA-EQUI,Est. FDR,0.800000,0.054253
Screen-TRex Bootstrap DA-EQUI,FDR,0.900000,0.943165
Screen-TRex Bootstrap DA-EQUI,TPR,0.900000,0.055500
Screen-TRex Bootstrap DA-EQUI,Est. FDR,0.900000,0.077240
